Stazione,Data inizio,Data fine,Strumento,PM10,Unità di misura,F1,F2,F3,F4
DE AMICIS,31/12/2019,01/01/2020,FAI SWAM 5A,42,ug/m3,,1,1,1
DE AMICIS,01/01/2020,02/01/2020,FAI SWAM 5A,39,ug/m3,,,1,1
DE AMICIS,02/01/2020,03/01/2020,FAI SWAM 5A,49,ug/m3,,,1,1
DE AMICIS,03/01/2020,04/01/2020,FAI SWAM 5A,44,ug/m3,,,1,1
DE AMICIS,04/01/2020,05/01/2020,FAI SWAM 5A,27,ug/m3,,,1,1
DE AMICIS,05/01/2020,06/01/2020,FAI SWAM 5A,28,ug/m3,,,1,1
DE AMICIS,06/01/2020,07/01/2020,FAI SWAM 5A,18,ug/m3,,,1,1
DE AMICIS,07/01/2020,08/01/2020,FAI SWAM 5A,53,ug/m3,,,1,1
DE AMICIS,08/01/2020,09/01/2020,FAI SWAM 5A,52,ug/m3,,,1,1
DE AMICIS,09/01/2020,10/01/2020,FAI SWAM 5A,45,ug/m3,,,1,1
DE AMICIS,10/01/2020,11/01/2020,FAI SWAM 5A,38,ug/m3,,,1,1
DE AMICIS,11/01/2020,12/01/2020,FAI SWAM 5A,59,ug/m3,,,1,1
DE AMICIS,12/01/2020,13/01/2020,FAI SWAM 5A,41,ug/m3,,,1,1
DE AMICIS,13/01/2020,14/01/2020,FAI SWAM 5A,51,ug/m3,,,1,1
DE AMICIS,14/01/2020,15/01/2020,FAI SWAM 5A,71,ug/m3,,,1,1
DE AMICIS,15/01/2020,16/01/2020,FAI SWAM 5A,98,ug/m3,,,1,1
DE AMICIS,16/01/2020,17/01/2020,FAI SWAM 5A,92,ug/m3,,,1,1
DE AMICIS,17/01/2020,18/01/2020,FAI SWAM 5A,35,ug/m3,,,1,1
DE AMICIS,18/01/2020,19/01/2020,FAI SWAM 5A,23,ug/m3,,,1,1
DE AMICIS,19/01/2020,20/01/2020,FAI SWAM 5A,24,ug/m3,,,1,1
DE AMICIS,20/01/2020,21/01/2020,FAI SWAM 5A,28,ug/m3,,,1,1
DE AMICIS,21/01/2020,22/01/2020,FAI SWAM 5A,35,ug/m3,,,1,1
DE AMICIS,22/01/2020,23/01/2020,FAI SWAM 5A,31,ug/m3,,,1,1
DE AMICIS,23/01/2020,24/01/2020,FAI SWAM 5A,53,ug/m3,,,1,1
DE AMICIS,24/01/2020,25/01/2020,FAI SWAM 5A,71,ug/m3,,,1,1
DE AMICIS,25/01/2020,26/01/2020,FAI SWAM 5A,80,ug/m3,,,1,1
DE AMICIS,26/01/2020,27/01/2020,FAI SWAM 5A,55,ug/m3,,,1,1
DE AMICIS,27/01/2020,28/01/2020,FAI SWAM 5A,24,ug/m3,,,1,1
DE AMICIS,28/01/2020,29/01/2020,FAI SWAM 5A,16,ug/m3,,,1,1
DE AMICIS,29/01/2020,30/01/2020,FAI SWAM 5A,24,ug/m3,,,1,1
DE AMICIS,30/01/2020,31/01/2020,FAI SWAM 5A,34,ug/m3,,,1,1
DE AMICIS,31/01/2020,01/02/2020,FAI SWAM 5A,62,ug/m3,,,1,1
DE AMICIS,01/02/2020,02/02/2020,FAI SWAM 5A,89,ug/m3,,,1,1
DE AMICIS,02/02/2020,03/02/2020,FAI SWAM 5A,70,ug/m3,,,1,1
DE AMICIS,03/02/2020,04/02/2020,FAI SWAM 5A,28,ug/m3,,,1,1
DE AMICIS,04/02/2020,05/02/2020,FAI SWAM 5A,11,ug/m3,,,1,1
DE AMICIS,05/02/2020,06/02/2020,FAI SWAM 5A,16,ug/m3,,,1,1
DE AMICIS,06/02/2020,07/02/2020,FAI SWAM 5A,22,ug/m3,,,1,1
DE AMICIS,07/02/2020,08/02/2020,FAI SWAM 5A,31,ug/m3,,,1,1
DE AMICIS,08/02/2020,09/02/2020,FAI SWAM 5A,53,ug/m3,,,1,1
DE AMICIS,09/02/2020,10/02/2020,FAI SWAM 5A,54,ug/m3,,,1,1
DE AMICIS,10/02/2020,11/02/2020,FAI SWAM 5A,22,ug/m3,,,1,1
DE AMICIS,11/02/2020,12/02/2020,FAI SWAM 5A,19,ug/m3,,,1,1
DE AMICIS,12/02/2020,13/02/2020,FAI SWAM 5A,,ug/m3,,,-3,-5
DE AMICIS,13/02/2020,14/02/2020,FAI SWAM 5A,22,ug/m3,,,1,1
DE AMICIS,14/02/2020,15/02/2020,FAI SWAM 5A,38,ug/m3,,,1,1
DE AMICIS,15/02/2020,16/02/2020,FAI SWAM 5A,33,ug/m3,,,1,1
DE AMICIS,16/02/2020,17/02/2020,FAI SWAM 5A,50,ug/m3,,,1,1
DE AMICIS,17/02/2020,18/02/2020,FAI SWAM 5A,37,ug/m3,,,1,1
DE AMICIS,18/02/2020,19/02/2020,FAI SWAM 5A,47,ug/m3,,,1,1
DE AMICIS,19/02/2020,20/02/2020,FAI SWAM 5A,39,ug/m3,,,1,1
DE AMICIS,20/02/2020,21/02/2020,FAI SWAM 5A,30,ug/m3,,,1,1
DE AMICIS,21/02/2020,22/02/2020,FAI SWAM 5A,37,ug/m3,,,1,1
DE AMICIS,22/02/2020,23/02/2020,FAI SWAM 5A,54,ug/m3,,,1,1
DE AMICIS,23/02/2020,24/02/2020,FAI SWAM 5A,44,ug/m3,,,1,1
DE AMICIS,24/02/2020,25/02/2020,FAI SWAM 5A,55,ug/m3,,,1,1
DE AMICIS,25/02/2020,26/02/2020,FAI SWAM 5A,29,ug/m3,,,1,1
DE AMICIS,26/02/2020,27/02/2020,FAI SWAM 5A,7,ug/m3,,,1,1
DE AMICIS,27/02/2020,28/02/2020,FAI SWAM 5A,2,ug/m3,,,1,1
DE AMICIS,28/02/2020,29/02/2020,FAI SWAM 5A,13,ug/m3,,,1,1
DE AMICIS,29/02/2020,01/03/2020,FAI SWAM 5A,25,ug/m3,,,1,1
DE AMICIS,01/03/2020,02/03/2020,FAI SWAM 5A,32,ug/m3,,,1,1
DE AMICIS,02/03/2020,03/03/2020,FAI SWAM 5A,17,ug/m3,,,1,1
DE AMICIS,03/03/2020,04/03/2020,FAI SWAM 5A,11,ug/m3,,,1,1
DE AMICIS,04/03/2020,05/03/2020,FAI SWAM 5A,12,ug/m3,,,1,1
DE AMICIS,05/03/2020,06/03/2020,FAI SWAM 5A,13,ug/m3,,,1,1
DE AMICIS,06/03/2020,07/03/2020,FAI SWAM 5A,20,ug/m3,,,1,1
DE AMICIS,07/03/2020,08/03/2020,FAI SWAM 5A,28,ug/m3,,,1,1
DE AMICIS,08/03/2020,09/03/2020,FAI SWAM 5A,13,ug/m3,,,1,1
DE AMICIS,09/03/2020,10/03/2020,FAI SWAM 5A,20,ug/m3,,,1,1
DE AMICIS,10/03/2020,11/03/2020,FAI SWAM 5A,28,ug/m3,,,1,1
DE AMICIS,11/03/2020,12/03/2020,FAI SWAM 5A,21,ug/m3,,,1,1
DE AMICIS,12/03/2020,13/03/2020,FAI SWAM 5A,24,ug/m3,,,1,1
DE AMICIS,13/03/2020,14/03/2020,FAI SWAM 5A,18,ug/m3,,,1,1
DE AMICIS,14/03/2020,15/03/2020,FAI SWAM 5A,20,ug/m3,,,1,1
DE AMICIS,15/03/2020,16/03/2020,FAI SWAM 5A,14,ug/m3,,,1,1
DE AMICIS,16/03/2020,17/03/2020,FAI SWAM 5A,25,ug/m3,,,1,1
DE AMICIS,17/03/2020,18/03/2020,FAI SWAM 5A,26,ug/m3,,,1,1
DE AMICIS,18/03/2020,19/03/2020,FAI SWAM 5A,32,ug/m3,,,1,1
DE AMICIS,19/03/2020,20/03/2020,FAI SWAM 5A,30,ug/m3,,,1,1
DE AMICIS,20/03/2020,21/03/2020,FAI SWAM 5A,33,ug/m3,,,1,1
DE AMICIS,21/03/2020,22/03/2020,FAI SWAM 5A,29,ug/m3,,,1,1
DE AMICIS,22/03/2020,23/03/2020,FAI SWAM 5A,23,ug/m3,,,1,1
DE AMICIS,23/03/2020,24/03/2020,FAI SWAM 5A,19,ug/m3,,,1,1
DE AMICIS,24/03/2020,25/03/2020,FAI SWAM 5A,20,ug/m3,,,1,1
DE AMICIS,25/03/2020,26/03/2020,FAI SWAM 5A,28,ug/m3,,,1,1
DE AMICIS,26/03/2020,27/03/2020,FAI SWAM 5A,20,ug/m3,,,1,1
DE AMICIS,27/03/2020,28/03/2020,FAI SWAM 5A,34,ug/m3,,,1,1
DE AMICIS,28/03/2020,29/03/2020,FAI SWAM 5A,112,ug/m3,,,1,1
DE AMICIS,29/03/2020,30/03/2020,FAI SWAM 5A,94,ug/m3,,,1,1
DE AMICIS,30/03/2020,31/03/2020,FAI SWAM 5A,45,ug/m3,,,1,1
DE AMICIS,31/03/2020,01/04/2020,FAI SWAM 5A,11,ug/m3,,,1,1
DE AMICIS,01/04/2020,02/04/2020,FAI SWAM 5A,21,ug/m3,,,1,1
DE AMICIS,02/04/2020,03/04/2020,FAI SWAM 5A,22,ug/m3,,,1,1
DE AMICIS,03/04/2020,04/04/2020,FAI SWAM 5A,20,ug/m3,,,1,1
DE AMICIS,04/04/2020,05/04/2020,FAI SWAM 5A,22,ug/m3,,,1,1
DE AMICIS,05/04/2020,06/04/2020,FAI SWAM 5A,20,ug/m3,,,1,1
DE AMICIS,06/04/2020,07/04/2020,FAI SWAM 5A,29,ug/m3,,,1,1
DE AMICIS,07/04/2020,08/04/2020,FAI SWAM 5A,32,ug/m3,,,1,1
DE AMICIS,08/04/2020,09/04/2020,FAI SWAM 5A,22,ug/m3,,,1,1
DE AMICIS,09/04/2020,10/04/2020,FAI SWAM 5A,19,ug/m3,,,1,1
DE AMICIS,10/04/2020,11/04/2020,FAI SWAM 5A,24,ug/m3,,,1,1
DE AMICIS,11/04/2020,12/04/2020,FAI SWAM 5A,24,ug/m3,,,1,1
DE AMICIS,12/04/2020,13/04/2020,FAI SWAM 5A,14,ug/m3,,,1,1
DE AMICIS,13/04/2020,14/04/2020,FAI SWAM 5A,15,ug/m3,,,1,1
DE AMICIS,14/04/2020,15/04/2020,FAI SWAM 5A,18,ug/m3,,,1,1
DE AMICIS,15/04/2020,16/04/2020,FAI SWAM 5A,15,ug/m3,,,1,1
DE AMICIS,16/04/2020,17/04/2020,FAI SWAM 5A,21,ug/m3,,,1,1
DE AMICIS,17/04/2020,18/04/2020,FAI SWAM 5A,22,ug/m3,,,1,1
DE AMICIS,18/04/2020,19/04/2020,FAI SWAM 5A,23,ug/m3,,,1,1
DE AMICIS,19/04/2020,20/04/2020,FAI SWAM 5A,23,ug/m3,,,1,1
DE AMICIS,20/04/2020,21/04/2020,FAI SWAM 5A,16,ug/m3,,,1,1
DE AMICIS,21/04/2020,22/04/2020,FAI SWAM 5A,15,ug/m3,,,1,1
DE AMICIS,22/04/2020,23/04/2020,FAI SWAM 5A,22,ug/m3,,,1,1
DE AMICIS,23/04/2020,24/04/2020,FAI SWAM 5A,25,ug/m3,,,1,1
DE AMICIS,24/04/2020,25/04/2020,FAI SWAM 5A,27,ug/m3,,,1,1
DE AMICIS,25/04/2020,26/04/2020,FAI SWAM 5A,14,ug/m3,,,1,1
DE AMICIS,26/04/2020,27/04/2020,FAI SWAM 5A,9,ug/m3,,,1,1
DE AMICIS,27/04/2020,28/04/2020,FAI SWAM 5A,8,ug/m3,,,1,1
DE AMICIS,28/04/2020,29/04/2020,FAI SWAM 5A,6,ug/m3,,,1,1
DE AMICIS,29/04/2020,30/04/2020,FAI SWAM 5A,10,ug/m3,,,1,1
DE AMICIS,30/04/2020,01/05/2020,FAI SWAM 5A,8,ug/m3,,,1,1
