Day,base2mid,Z.Totale
2020-01-01,Bologna,0.558515622560979
2020-01-01,Ferrara,0.643221750798093
2020-01-01,Forli'-Cesena,0.784003906767059
2020-01-01,Modena,0.545689046940943
2020-01-01,Parma,0.560192714045344
2020-01-01,Piacenza,0.540104113071638
2020-01-01,Ravenna,0.706713708032631
2020-01-01,Reggio nell'Emilia,0.549153094988533
2020-01-01,Rimini,0.742125209417434
2020-01-02,Bologna,0.812788793115454
2020-01-02,Ferrara,0.883729439023523
2020-01-02,Forli'-Cesena,0.935211137334174
2020-01-02,Modena,0.828034569292358
2020-01-02,Parma,0.889647081602215
2020-01-02,Piacenza,0.837300122070559
2020-01-02,Ravenna,0.889701677471698
2020-01-02,Reggio nell'Emilia,0.788009147543002
2020-01-02,Rimini,0.907047539216451
2020-01-03,Bologna,0.898452033774066
2020-01-03,Ferrara,0.919967775379624
2020-01-03,Forli'-Cesena,0.98348577664699
2020-01-03,Modena,0.873384539442229
2020-01-03,Parma,0.970250704478177
2020-01-03,Piacenza,0.90348355073999
2020-01-03,Ravenna,0.956362094404739
2020-01-03,Reggio nell'Emilia,0.882066709765025
2020-01-03,Rimini,0.962596226832505
2020-01-04,Bologna,0.834037822287536
2020-01-04,Ferrara,0.87149885517796
2020-01-04,Forli'-Cesena,0.94910790821436
2020-01-04,Modena,0.824550503575554
2020-01-04,Parma,0.899299796806565
2020-01-04,Piacenza,0.863711752065615
2020-01-04,Ravenna,0.904896728000001
2020-01-04,Reggio nell'Emilia,0.834401518987971
2020-01-04,Rimini,0.939075611355437
2020-01-05,Bologna,0.738254650215321
2020-01-05,Ferrara,0.812892036579595
2020-01-05,Forli'-Cesena,0.904884818624569
2020-01-05,Modena,0.737053443360995
2020-01-05,Parma,0.788804636721352
2020-01-05,Piacenza,0.80056051572289
2020-01-05,Ravenna,0.834064415537296
2020-01-05,Reggio nell'Emilia,0.763208102662671
2020-01-05,Rimini,0.863792455047684
2020-01-06,Bologna,0.661309249914126
2020-01-06,Ferrara,0.715314764511337
2020-01-06,Forli'-Cesena,0.778487188015201
2020-01-06,Modena,0.655175702253362
2020-01-06,Parma,0.683130904353122
2020-01-06,Piacenza,0.670790230319906
2020-01-06,Ravenna,0.72853523917594
2020-01-06,Reggio nell'Emilia,0.661193235142578
2020-01-06,Rimini,0.742099934739294
2020-01-07,Bologna,1.06418428484897
2020-01-07,Ferrara,1.00782568614095
2020-01-07,Forli'-Cesena,1.0466488561217
2020-01-07,Modena,1.037509077799
2020-01-07,Parma,1.05606028611604
2020-01-07,Piacenza,1.07926838372527
2020-01-07,Ravenna,1.05540864861763
2020-01-07,Reggio nell'Emilia,1.02795743636642
2020-01-07,Rimini,1.02441303462728
2020-01-08,Bologna,1.09600835966861
2020-01-08,Ferrara,1.03364709937384
2020-01-08,Forli'-Cesena,1.06886314142777
2020-01-08,Modena,1.09115402408169
2020-01-08,Parma,1.08121256036149
2020-01-08,Piacenza,1.05290477487566
2020-01-08,Ravenna,1.07134097378695
2020-01-08,Reggio nell'Emilia,1.06599055956635
2020-01-08,Rimini,1.03492730073351
2020-01-09,Bologna,1.10893247319459
2020-01-09,Ferrara,1.06427006310883
2020-01-09,Forli'-Cesena,1.07844927781763
2020-01-09,Modena,1.11365326813686
2020-01-09,Parma,1.09593319754238
2020-01-09,Piacenza,1.07373223167176
2020-01-09,Ravenna,1.07310324000207
2020-01-09,Reggio nell'Emilia,1.11530138632196
2020-01-09,Rimini,1.0438088226319
2020-01-10,Bologna,1.15812155881697
2020-01-10,Ferrara,1.10991385795453
2020-01-10,Forli'-Cesena,1.138588212681
2020-01-10,Modena,1.15793561159167
2020-01-10,Parma,1.19075132271961
2020-01-10,Piacenza,1.14968110327573
2020-01-10,Ravenna,1.12816506807031
2020-01-10,Reggio nell'Emilia,1.16066559935908
2020-01-10,Rimini,1.09279620380281
2020-01-11,Bologna,0.943887133665363
2020-01-11,Ferrara,0.89776205756116
2020-01-11,Forli'-Cesena,0.979313618497812
2020-01-11,Modena,0.961856962316473
2020-01-11,Parma,1.00343869158527
2020-01-11,Piacenza,1.00870817065666
2020-01-11,Ravenna,0.98852345283062
2020-01-11,Reggio nell'Emilia,0.948512539107948
2020-01-11,Rimini,0.977543671484491
2020-01-12,Bologna,0.74782618311098
2020-01-12,Ferrara,0.779653216033527
2020-01-12,Forli'-Cesena,0.833265748382839
2020-01-12,Modena,0.762891766791667
2020-01-12,Parma,0.804277903041435
2020-01-12,Piacenza,0.804748645622106
2020-01-12,Ravenna,0.764553802735929
2020-01-12,Reggio nell'Emilia,0.766473160949324
2020-01-12,Rimini,0.836212726261335
2020-01-13,Bologna,1.09937224748487
2020-01-13,Ferrara,1.023032533736
2020-01-13,Forli'-Cesena,1.07251266306361
2020-01-13,Modena,1.09973457937162
2020-01-13,Parma,1.0040171314477
2020-01-13,Piacenza,1.13516156694208
2020-01-13,Ravenna,1.04416970591918
2020-01-13,Reggio nell'Emilia,1.10533145365896
2020-01-13,Rimini,1.03783894365523
2020-01-14,Bologna,1.12467772961184
2020-01-14,Ferrara,1.07404755456712
2020-01-14,Forli'-Cesena,1.08540436372585
2020-01-14,Modena,1.11768652454042
2020-01-14,Parma,1.16922744397488
2020-01-14,Piacenza,1.11472170939136
2020-01-14,Ravenna,1.06482238702185
2020-01-14,Reggio nell'Emilia,1.1255567567299
2020-01-14,Rimini,1.03859718399943
2020-01-15,Bologna,1.13349733464269
2020-01-15,Ferrara,1.09614863811314
2020-01-15,Forli'-Cesena,1.09957362030957
2020-01-15,Modena,1.13893361382978
2020-01-15,Parma,1.11504800572369
2020-01-15,Piacenza,1.0843003137516
2020-01-15,Ravenna,1.11760046193377
2020-01-15,Reggio nell'Emilia,1.14341991682985
2020-01-15,Rimini,1.06372021407058
2020-01-16,Bologna,1.11669485634033
2020-01-16,Ferrara,1.11536646615184
2020-01-16,Forli'-Cesena,1.10269603845333
2020-01-16,Modena,1.15303243714028
2020-01-16,Parma,1.13970729145003
2020-01-16,Piacenza,1.08871139896896
2020-01-16,Ravenna,1.11975833893187
2020-01-16,Reggio nell'Emilia,1.14327719795737
2020-01-16,Rimini,1.07467425957645
2020-01-17,Bologna,1.1842072367736
2020-01-17,Ferrara,1.14390837046824
2020-01-17,Forli'-Cesena,1.15826972103783
2020-01-17,Modena,1.18789945546128
2020-01-17,Parma,1.17068340340134
2020-01-17,Piacenza,1.18236978299688
2020-01-17,Ravenna,1.14870086416892
2020-01-17,Reggio nell'Emilia,1.15361703463678
2020-01-17,Rimini,1.12539042873214
2020-01-18,Bologna,0.876134475530938
2020-01-18,Ferrara,0.858140546396067
2020-01-18,Forli'-Cesena,0.966926686433923
2020-01-18,Modena,0.930254333437572
2020-01-18,Parma,0.948555923046812
2020-01-18,Piacenza,0.979806301262068
2020-01-18,Ravenna,0.949600746477352
2020-01-18,Reggio nell'Emilia,0.950437787571354
2020-01-18,Rimini,1.00441570928292
2020-01-19,Bologna,0.708050329781145
2020-01-19,Ferrara,0.75976107823908
2020-01-19,Forli'-Cesena,0.819829076313536
2020-01-19,Modena,0.75051520547485
2020-01-19,Parma,0.762426464358356
2020-01-19,Piacenza,0.746372083169396
2020-01-19,Ravenna,0.776449099687967
2020-01-19,Reggio nell'Emilia,0.752440109365832
2020-01-19,Rimini,0.885230437046017
2020-01-20,Bologna,1.09044239739113
2020-01-20,Ferrara,1.09235855224464
2020-01-20,Forli'-Cesena,1.08865632425326
2020-01-20,Modena,1.11617515177046
2020-01-20,Parma,1.09058591540501
2020-01-20,Piacenza,1.11861142217245
2020-01-20,Ravenna,1.06524497126731
2020-01-20,Reggio nell'Emilia,1.05525751783011
2020-01-20,Rimini,1.10279992141062
2020-01-21,Bologna,1.10723639530404
2020-01-21,Ferrara,1.10592612957142
2020-01-21,Forli'-Cesena,1.0979610409821
2020-01-21,Modena,1.12899106563669
2020-01-21,Parma,1.10935891821306
2020-01-21,Piacenza,1.12690879008908
2020-01-21,Ravenna,1.09557213424481
2020-01-21,Reggio nell'Emilia,1.1277004524471
2020-01-21,Rimini,1.11036716004573
2020-01-22,Bologna,1.12739993462617
2020-01-22,Ferrara,1.10700735038667
2020-01-22,Forli'-Cesena,1.10639022987664
2020-01-22,Modena,1.14866087927367
2020-01-22,Parma,1.11183372057904
2020-01-22,Piacenza,1.14114362963187
2020-01-22,Ravenna,1.10959833473247
2020-01-22,Reggio nell'Emilia,1.15597626497772
2020-01-22,Rimini,1.11039243472387
2020-01-23,Bologna,1.14146607393179
2020-01-23,Ferrara,1.11621516636165
2020-01-23,Forli'-Cesena,1.11104482173043
2020-01-23,Modena,1.15121791111123
2020-01-23,Parma,1.11389769917908
2020-01-23,Piacenza,1.16230037428246
2020-01-23,Ravenna,1.03544828638518
2020-01-23,Reggio nell'Emilia,1.16662192781243
2020-01-23,Rimini,1.10969990854283
2020-01-24,Bologna,1.17077995347342
2020-01-24,Ferrara,1.14579178737222
2020-01-24,Forli'-Cesena,1.15361066220529
2020-01-24,Modena,1.18593994309092
2020-01-24,Parma,1.20486394072693
2020-01-24,Piacenza,1.20044631417532
2020-01-24,Ravenna,1.14281165819493
2020-01-24,Reggio nell'Emilia,1.18859772154374
2020-01-24,Rimini,1.13760315320937
2020-01-25,Bologna,0.87856552050739
2020-01-25,Ferrara,0.868034298157069
2020-01-25,Forli'-Cesena,0.942420841030934
2020-01-25,Modena,0.921339870210088
2020-01-25,Parma,0.937305925040516
2020-01-25,Piacenza,0.964055365555925
2020-01-25,Ravenna,0.940618583472751
2020-01-25,Reggio nell'Emilia,0.910325046515344
2020-01-25,Rimini,0.975749169336552
2020-01-26,Bologna,0.74309977938932
2020-01-26,Ferrara,0.769666456030354
2020-01-26,Forli'-Cesena,0.815348696630854
2020-01-26,Modena,0.772249976094052
2020-01-26,Parma,0.79514775566735
2020-01-26,Piacenza,0.816332031919938
2020-01-26,Ravenna,0.804996014142028
2020-01-26,Reggio nell'Emilia,0.741022599567723
2020-01-26,Rimini,0.838735139139705
2020-01-27,Bologna,1.06540546093016
2020-01-27,Ferrara,1.07986056970284
2020-01-27,Forli'-Cesena,1.05472068671653
2020-01-27,Modena,1.10269142202914
2020-01-27,Parma,1.05120599249778
2020-01-27,Piacenza,1.12019611997216
2020-01-27,Ravenna,1.05398804626055
2020-01-27,Reggio nell'Emilia,1.07753331245663
2020-01-27,Rimini,1.05322616770686
2020-01-28,Bologna,1.09412005961714
2020-01-28,Ferrara,1.09304448803066
2020-01-28,Forli'-Cesena,1.07887810777729
2020-01-28,Modena,1.11999751895031
2020-01-28,Parma,1.09212403958466
2020-01-28,Piacenza,1.13381697486961
2020-01-28,Ravenna,1.08847811361355
2020-01-28,Reggio nell'Emilia,1.09909842535081
2020-01-28,Rimini,1.06520131020958
2020-01-29,Bologna,1.12141277967254
2020-01-29,Ferrara,1.11395971648899
2020-01-29,Forli'-Cesena,1.01315991645961
2020-01-29,Modena,1.15321696521103
2020-01-29,Parma,1.16173401848427
2020-01-29,Piacenza,1.12309796918979
2020-01-29,Ravenna,1.10857334315837
2020-01-29,Reggio nell'Emilia,1.10823534581935
2020-01-29,Rimini,1.07115096944373
2020-01-30,Bologna,1.14205687439699
2020-01-30,Ferrara,1.11492467700152
2020-01-30,Forli'-Cesena,1.01963256866321
2020-01-30,Modena,1.16404700555393
2020-01-30,Parma,1.11047307226627
2020-01-30,Piacenza,1.1677644946178
2020-01-30,Ravenna,1.10653235116433
2020-01-30,Reggio nell'Emilia,1.1323519226378
2020-01-30,Rimini,1.09055686731961
2020-01-31,Bologna,1.17048879343555
2020-01-31,Ferrara,1.13913007202668
2020-01-31,Forli'-Cesena,1.04534896530649
2020-01-31,Modena,1.00692135330923
2020-01-31,Parma,1.14130457425197
2020-01-31,Piacenza,1.20982415786447
2020-01-31,Ravenna,1.12778743959564
2020-01-31,Reggio nell'Emilia,1.15278402244233
2020-01-31,Rimini,1.12110384331959
2020-02-01,Bologna,0.936407430168046
2020-02-01,Ferrara,0.908271988926548
2020-02-01,Forli'-Cesena,0.872298208669263
2020-02-01,Modena,0.883155740141058
2020-02-01,Parma,0.974851930656622
2020-02-01,Piacenza,0.962662752338004
2020-02-01,Ravenna,0.985592336574865
2020-02-01,Reggio nell'Emilia,0.954844596837818
2020-02-01,Rimini,0.997849347902153
2020-02-02,Bologna,0.737463147199732
2020-02-02,Ferrara,0.734672104913297
2020-02-02,Forli'-Cesena,0.743166787067072
2020-02-02,Modena,0.712071857401669
2020-02-02,Parma,0.757959988375137
2020-02-02,Piacenza,0.787059713689053
2020-02-02,Ravenna,0.802892084068878
2020-02-02,Reggio nell'Emilia,0.74111289109929
2020-02-02,Rimini,0.838386348581373
2020-02-03,Bologna,1.06959194652333
2020-02-03,Ferrara,1.03164742216715
2020-02-03,Forli'-Cesena,0.952342000826785
2020-02-03,Modena,1.0985615080647
2020-02-03,Parma,1.05712514131733
2020-02-03,Piacenza,1.11780535294533
2020-02-03,Ravenna,1.05990422569701
2020-02-03,Reggio nell'Emilia,1.04351379346635
2020-02-03,Rimini,1.04259058314555
2020-02-04,Bologna,1.10379335718623
2020-02-04,Ferrara,1.10982084971236
2020-02-04,Forli'-Cesena,0.924762874046242
2020-02-04,Modena,1.12136829890446
2020-02-04,Parma,1.09098687940056
2020-02-04,Piacenza,1.13481855876033
2020-02-04,Ravenna,1.1006970921153
2020-02-04,Reggio nell'Emilia,1.09802075223211
2020-02-04,Rimini,1.07030679519386
2020-02-05,Bologna,1.11835701267307
2020-02-05,Ferrara,1.11026263886267
2020-02-05,Forli'-Cesena,1.01051546504172
2020-02-05,Modena,1.15028209018099
2020-02-05,Parma,1.09680085733603
2020-02-05,Piacenza,1.15144073524813
2020-02-05,Ravenna,1.11001192782377
2020-02-05,Reggio nell'Emilia,1.11229846473985
2020-02-05,Rimini,1.0924322484376
2020-02-06,Bologna,1.12537029475049
2020-02-06,Ferrara,1.13959511323753
2020-02-06,Forli'-Cesena,1.02676633372128
2020-02-06,Modena,1.15026890960451
2020-02-06,Parma,1.10062973483453
2020-02-06,Piacenza,1.15158822876628
2020-02-06,Ravenna,1.10726962580535
2020-02-06,Reggio nell'Emilia,1.12637811840415
2020-02-06,Rimini,1.09020807676128
2020-02-07,Bologna,1.16122820815315
2020-02-07,Ferrara,1.16673026789109
2020-02-07,Forli'-Cesena,1.16509079758365
2020-02-07,Modena,1.1870690791429
2020-02-07,Parma,1.13952981558314
2020-02-07,Piacenza,1.19123997457704
2020-02-07,Ravenna,1.13684153183351
2020-02-07,Reggio nell'Emilia,1.16848309841473
2020-02-07,Rimini,1.13127942873875
2020-02-08,Bologna,0.93567811667511
2020-02-08,Ferrara,0.926989897663578
2020-02-08,Forli'-Cesena,0.984392573332518
2020-02-08,Modena,0.960727826264495
2020-02-08,Parma,1.00402041803783
2020-02-08,Piacenza,1.01133218324708
2020-02-08,Ravenna,0.98534058425842
2020-02-08,Reggio nell'Emilia,0.951093129332725
2020-02-08,Rimini,1.00261615219935
2020-02-09,Bologna,0.751198551316687
2020-02-09,Ferrara,0.839236621174694
2020-02-09,Forli'-Cesena,0.863980694243385
2020-02-09,Modena,0.778642555687936
2020-02-09,Parma,0.789754461268188
2020-02-09,Piacenza,0.825411458490966
2020-02-09,Ravenna,0.842066542738592
2020-02-09,Reggio nell'Emilia,0.777849893926725
2020-02-09,Rimini,0.854557087655334
2020-02-10,Bologna,1.10738621551771
2020-02-10,Ferrara,1.09835758386471
2020-02-10,Forli'-Cesena,1.07485782690549
2020-02-10,Modena,1.12151767877126
2020-02-10,Parma,1.09763565122841
2020-02-10,Piacenza,1.1156478314821
2020-02-10,Ravenna,1.07940603906736
2020-02-10,Reggio nell'Emilia,1.09161879138103
2020-02-10,Rimini,1.0581092355235
2020-02-11,Bologna,1.14101378649431
2020-02-11,Ferrara,1.12667859360596
2020-02-11,Forli'-Cesena,1.09065753073166
2020-02-11,Modena,1.14106886721991
2020-02-11,Parma,1.11051908452805
2020-02-11,Piacenza,1.16445789574569
2020-02-11,Ravenna,1.10442842109118
2020-02-11,Reggio nell'Emilia,1.11580818395075
2020-02-11,Rimini,1.07619074026484
2020-02-12,Bologna,1.15961693415713
2020-02-12,Ferrara,1.13888592539098
2020-02-12,Forli'-Cesena,1.1164185971624
2020-02-12,Modena,1.15764563890906
2020-02-12,Parma,1.17842332315151
2020-02-12,Piacenza,1.19165844455878
2020-02-12,Ravenna,1.126052146843
2020-02-12,Reggio nell'Emilia,1.14112185171997
2020-02-12,Rimini,1.09409026732358
2020-02-13,Bologna,1.16065154167037
2020-02-13,Ferrara,1.15415090313739
2020-02-13,Forli'-Cesena,1.12096598152628
2020-02-13,Modena,1.16490374302528
2020-02-13,Parma,1.19443887684262
2020-02-13,Piacenza,1.19306820818579
2020-02-13,Ravenna,1.13560974371376
2020-02-13,Reggio nell'Emilia,1.14963838198775
2020-02-13,Rimini,1.11581132571708
2020-02-14,Bologna,1.20608664156167
2020-02-14,Ferrara,1.21786154902492
2020-02-14,Forli'-Cesena,1.20620040298717
2020-02-14,Modena,1.22138251325165
2020-02-14,Parma,1.26028899663642
2020-02-14,Piacenza,1.27702289075189
2020-02-14,Ravenna,1.20028311557772
2020-02-14,Reggio nell'Emilia,1.24318040869083
2020-02-14,Rimini,1.18461910948537
2020-02-15,Bologna,0.957385086877641
2020-02-15,Ferrara,0.960542621026975
2020-02-15,Forli'-Cesena,1.0354054706169
2020-02-15,Modena,0.976799342521832
2020-02-15,Parma,1.0305629199072
2020-02-15,Piacenza,1.0545169133299
